SMILES CHEMBL_ID RTB
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC6C=NOC6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1 CHEMBL1797318 1
CO[C@@]1(C)CC/C=C(\C)CCC2=C(C)CO[C@H]2/C=C(\C)CC[C@@H]1O CHEMBL1084266 1
C=C[C@H]1CC[C@H]2[C@@H]3CC[C@@]4(C=CC(=O)C=C4C)[C@H]3CC[C@@]21C CHEMBL1689217 1
COC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2 CHEMBL4211797 1
C[C@]12CC[C@@H]3c4ccc(O)c(F)c4CC[C@H]3[C@@H]1CC[C@@]2(O)/C=C\I CHEMBL1627906 1
Cc1cnc(N)c2ncn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c12 CHEMBL2312733 1
C/C=C1/CN2[C@@H]3C[C@@]45c6ccccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@H]5C(=O)OC CHEMBL590510 1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1 CHEMBL3932281 1
Brc1cc2c(cc1[C@@H]1Nc3cc(I)ccc3[C@@H]3C=CC[C@@H]31)OCO2 CHEMBL566178 1
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4[C@H]3CC[C@@]21C CHEMBL1908078 1
CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)[C@@H]1C[C@@H]1O[C@@]13[C@H]2O CHEMBL444360 1
CC(C)[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@]1(C)[C@@]24OO3 CHEMBL3349717 1
CC1(C)CCC[C@@]2(C)[C@H]1C(=O)[C@@H]1O[C@]1(C)[C@@H]2CO CHEMBL458313 1
CC(=O)N1CC[C@@H]2[C@@H](CO)Nc3ccc(C#Cc4ccccc4F)cc3[C@@H]21 CHEMBL3560067 1
CO[C@H]1C[C@]23[C@H](C(C)(C)C)C[C@H]4OC(=O)[C@@]5(CC=CC452)O[C@@H]3O1 CHEMBL2374247 1
C=C1C(=O)OC[C@H]1[C@H]1CC=C2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C CHEMBL3250926 1
C/C=C1/CC[C@H]2[C@@H]3CCC4C[C@H](N5CCCC5)CC[C@]4(C)[C@H]3CC[C@]12C CHEMBL3922355 1
Nc1ccn([C@H]2C[C@H](O)[C@@]3(O)CC23)c(=O)n1 CHEMBL121763 1
CC1=C2C[C@@]3(C)CC[C@H](C(C)C)[C@@H]3CC[C@H](C)[C@]2(O)CC1=O CHEMBL1774429 1
Nc1cc(S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1 CHEMBL3246912 2
C=C1C(=O)[C@@]23[C@@H](C[C@H](OC(C)=O)[C@@H]1[C@H]2O)[C@]1(C)CCC[C@](C)(C(=O)O)[C@H]1C[C@H]3O CHEMBL1765974 2
C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@]2(C)C(C/C=N/O)CCC12 CHEMBL77288 2
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC/C2=N\N=C1/C(=O)Nc2ccc([N+](=O)[O-])cc21 CHEMBL3617193 2
CC(C)NC(=O)[C@H]1CCC2C3CNC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C CHEMBL135313 2
C=C1[C@H](O)[C@@H](CO)O[C@H]1n1cc(C)c(N)nc1=O CHEMBL3142571 2
O=C(c1ccco1)[C@@H]1C[C@@H]2CNC[C@@H]2C1 CHEMBL3037928 2
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@H]5c5ccccc5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12 CHEMBL3702474 2
CO[C@@H]1OC(C)[C@H](N)C(O)[C@@H]1NC(C)=O CHEMBL1160334 2
C/C1=C\[C@H]2OC(=O)[C@@H](CN3CCCC3)[C@@H]2CC/C(C)=C/CC1 CHEMBL374848 2
CN1CC[C@H](c2ccccc2)[C@@H]2[C@H]1CCCCN2C(=O)c1cnccn1 CHEMBL3487212 2
C[C@]12CC[C@H]3[C@@H](CCC4C[C@@](O)(CC5CCCCC5)CC[C@@]43C)[C@@H]1CCC2=O CHEMBL3137857 2
c1ccc(COC2=NO[C@@]3(C2)C[C@@H]2CC[C@H](C3)N2)cc1 CHEMBL2221175 2
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)c2cccnc2)C=C[C@H]3[C@H]1C5 CHEMBL4165157 2
CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4C(C)[C@@H](O)C[C@@H]([C@H]1C)[C@]42OO3 CHEMBL3349696 2
CN(C)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC(C)(C)C)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1 CHEMBL4163069 2
COC(=O)c1cc2c(cc1OC)CCN1CCC3=C[C@@H]4OCO[C@@H]4C[C@]321 CHEMBL462800 2
C[C@]12C=CC(=O)C=C1C[C@@H](CC1CO1)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12 CHEMBL3797237 2
C[C@@H]1CC[C@H](O)C(C)(C)[C@]12Cc1cc(C(=O)O)cc([N+](=O)[O-])c1O2 CHEMBL2079188 2
OC[C@H]1N[C@@H](c2c[nH]c3c(S)ncnc23)C(O)[C@H]1O CHEMBL1196124 2
CC[C@@]1(C)CC(=O)[C@]2(O)C3(C)[C@@H](O)CCC(C)(C)[C@@H]3C(O)C(OC(C)=O)[C@@]2(C)O1 CHEMBL146994 2
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)O CHEMBL3980320 2
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1S CHEMBL3228323 2
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CCC2)[C@H]1O5 CHEMBL3248740 2
C[C@H]1CCC[C@@]2(O1)O[C@H](CCO)C[C@@H](O)[C@@H]2O CHEMBL1893270 2
CCC[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]21C CHEMBL1077392 2
COC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@](O)(CO)C3 CHEMBL1760002 2
CO[C@@H]1COC(=O)C/C=C\[C@H](C)[C@@H](OC)COC(=O)[C@H](C)NC(=O)C/C=C\[C@H]1C CHEMBL1489059 2
C=C(C)C[C@@H]1N[C@H]2CC(C)(C)[C@@H]1c1c(Br)cccc12 CHEMBL3347491 2
C[C@@H](c1cc(O)c2c(c1)CC[C@H]1[C@H]2C[C@@H]2O[C@@]23CC=CC(=O)[C@]13C)[C@@H]1C[C@@H]2O[C@@H]2[C@H](O)O1 CHEMBL470236 2
OCc1ncnc2c1ncn2[C@@H]1C[C@H]2CC[C@@H]1C2 CHEMBL1800579 2
COc1ccc2c(c1)OC[C@H]1[C@@H]2N2C(=O)CNC(=O)[C@@]2(C)[C@H]1c1ccccc1 CHEMBL1729056 2
O=C1O[C@H]2CCC[C@@H]2[C@@H]1Sc1ccccc1 CHEMBL100989 2
CC(=O)O[C@H]1C=CC(=O)[C@]2(C)[C@H]3CC[C@]45C(=O)O[C@@](C)([C@H]6C[C@H](C)[C@@H](C)C(=O)O6)[C@H]4CC[C@H]5[C@@H]3C[C@H]3O[C@]132 CHEMBL450197 2
Nc1ncnn2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)nnc12 CHEMBL3144055 2
C=C1[C@H]2C[C@]3([C@@H]1O)[C@H]1C[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@]4([C@@H]1N(CC)C5)[C@@H]3CC2=O CHEMBL4167573 2
C[C@@H]1CC[C@H]2C(Cn3ccnc3)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4 CHEMBL3349405 2
COc1ccc2c(c1)N[C@@]1(C2=O)[C@H](C=C(C)C)N2C(=O)[C@@H]3CCCN3C(=O)[C@]2(O)[C@H]1O CHEMBL2229122 2
O=C1Nc2ccc([N+](=O)[O-])cc2[C@@]12N1CSC[C@@H]1[C@@H](c1ccccc1)[C@]21C(=O)Oc2ccccc21 CHEMBL4105592 2
O=C([C@H]1C[C@@H]2CCN(C3CCOCC3)C[C@H]2O1)N1CCCC1 CHEMBL3556692 2
