molregno,MolLogP,TPSA,NumRotatableBonds,MolWt,NumHAcceptors,NumHDonors
296900,5.652300000000006,72.16,7,539.6390000000002,6,1
296954,5.047300000000004,85.05,7,540.6270000000002,7,1
296955,5.047300000000004,85.05,7,540.6270000000002,7,1
296975,5.422900000000005,81.39,7,581.6760000000004,7,1
296874,6.186500000000005,72.16,7,565.6770000000005,6,1
296875,5.338100000000005,75.4,7,594.719,7,1
19569,6.445800000000007,43.7,8,471.6850000000001,3,2
156551,4.176700000000003,42.52,6,380.4100000000001,4,2
338404,3.8310000000000004,104.06,8,515.5360000000003,6,4
338134,4.475700000000003,79.82000000000001,8,494.4850000000002,5,3
338260,5.369600000000004,88.69000000000001,11,619.681,6,3
338155,3.9403000000000024,88.69000000000001,10,557.6100000000002,6,3
338644,4.2443000000000035,62.75,8,462.51200000000017,5,3
338517,5.138100000000003,33.29,5,410.86700000000013,3,2
338415,5.025900000000004,42.52,7,432.4860000000002,4,2
338147,4.493300000000003,42.52,6,406.44800000000015,4,2
339789,6.439800000000007,23.55,4,498.511,2,0
339846,7.130800000000006,52.650000000000006,6,617.6340000000002,3,1
339845,7.2845000000000075,41.57000000000001,5,582.6290000000002,3,1
339881,7.138800000000008,42.010000000000005,5,624.6660000000005,4,0
340136,8.054500000000006,43.86000000000001,5,678.1170000000004,3,0
340135,7.401100000000007,43.86000000000001,5,643.6720000000005,3,0
340185,7.554800000000008,32.78,4,608.6670000000005,3,0
340184,6.484700000000007,53.010000000000005,4,610.6390000000005,4,1
340143,7.617100000000009,43.86000000000001,5,643.6720000000005,3,0
339750,7.227000000000007,43.86000000000001,5,629.6450000000004,3,0
339749,7.770800000000008,32.78,4,608.6670000000004,3,0
339880,7.380700000000008,32.78,4,594.6400000000004,3,0
344673,6.0507000000000035,21.259999999999998,4,429.40400000000005,2,1
345054,5.528900000000005,64.86,5,525.4970000000001,6,1
345045,5.528900000000005,64.86,5,525.4970000000001,6,1
344792,4.967900000000004,64.86,5,511.47,6,1
344791,4.967900000000004,64.86,5,511.47,6,1
344783,7.064100000000005,55.4,6,583.5940000000003,4,1
344674,6.503100000000004,55.4,6,569.5670000000003,4,1
