doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL3351528	[#8]=&!@[#6](-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]1:&@[#6,#7]:&@[#6,#7]:&@[#6]:&@[#6]:&@[#6,#7]:&@1)-&!@[#6]	0.6919831223628692
CHEMBL3351923	[#8,#6,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1)-&@[#6]1(-&@[#6]-&@[#8]-&@[#6](=&@[#7]-&@1)-&!@[#7])-&@[#6]1:&@[#6](-&@[#8]-&@2):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6,#7]1:,-,=;@[#6]:,-;@[#7,#6]:,-;@[#6,#7,#8]:,-;@[#7,#6,#8]:,-;@[#6,#7]:,-;@1	0.8096885813148789
CHEMBL3351932	[#6]-&!@[#7]1:&@[#6](-&!@[#6]2:&@[#6,#7]:&@[#6,#7]:&@[#6]:&@[#6]:&@[#7,#6]:&@2):&@[#6](:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]=&!@[#6]-&!@[#6](=&!@[#8])-&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1	0.8661005878510777
CHEMBL3351481	[#6,#7]-,#;!@[#8,#6]-&!@[#6]1:&@[#6,#7]:&@[#6](-&!@[#6]2:&@[#7]:&@[#6,#7](:&@[#7,#6](:&@[#7]:&@2)-&!@[#6,#7])-&!@[#6,#7,#8,#16]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]1:&@[#6]:&@[#7]:&@[#6](:&@[#6,#7]:&@1)-&!@[#6]	0.670722433460076
CHEMBL3351614	[#6]-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#7]:&@[#7](:&@[#6]2:&@[#6]:&@1-&@[#6]-&@[#6]1-&@[#6]-&@2-&@[#6]-&@1)-&!@[#6]	0.5707964601769911
CHEMBL3352511	[#6,#8,#17]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6]1:&@[#7]:&@[#6](:&@[#6]:&@[#6]:&@1-&!@[#6](-,=;!@[#7,#8])=,-;!@[#8,#7])-&!@[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6](:&@[#7]:&@1)-&!@[#7]	0.8442437923250564
CHEMBL3352578	[#6]-&!@[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1=&!@[#8])-&!@[#6,#17])-&!@[#6,#7]1:,-;@[#6]:,-;@[#6]:,-;@[#6,#7]:,-;@[#6]:,-;@[#6]:,-;@1	0.6320987654320988
CHEMBL3352261	[#7]-&!@[#16,#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6]1:&@[#7]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.6280193236714976
CHEMBL3351303	[#6]-&!@[#7,#6]1:,-;@[#6](=&!@[#8,#16]):,-;@[#7](:,-;@[#6]2:&@[#6]:,-;@1:&@[#7,#6]:&@[#6]:&@[#6,#7]:&@[#6]:&@2-&!@[#7])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6750261233019853
CHEMBL3392969	[#8]=&!@[#6]1-&@[#6]-&@[#7,#6]-&@[#6]-&@[#6]2=&@[#6]-&@1-&@[#6](-&!@[#6])-&@[#6]1:&@[#6](-&@[#7]-&@2):&@[#7,#6]:&@[#7,#6]:&@[#6,#7,#16]:&@1	0.44583883751651254
CHEMBL3414522	[#6]-&!@[#8,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1(-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#8])-&@[#6]-&@[#6]-&@[#6]2(-&@[#6]-&@1)-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@[#6]-&@2	0.7495164410058027
