doc_chembl_id,numAtoms,avgNumMolAtoms,smarts,time,scaff_frac
CHEMBL4014311,26,34.5,[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#9]):&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,2.4208528995513916,0.7536231884057971
CHEMBL4014336,18,25.955555555555556,"[#6]-&!@[#6]-&!@[#6]1(-&!@[#6]2:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@2)-&@[#6]2-&@[#6]-&@[#6]3-&@[#6]-&@[#6]-&@1-&@[#6]-&@[#6](-&@[#6]-&@2)-&@[#6]-&@3",0.19980955123901367,0.6934931506849314
CHEMBL4017489,25,36.145833333333336,[#6]-&!@[#6]-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#7]:&@[#6]3:&@[#7](:&@[#6](:&@[#6]:&@2:&@[#6]:&@[#6]:&@1-&!@[#9])=&!@[#8])-&@[#6]-&@[#6]-&@[#6]-&@3=&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,30.126157999038696,0.6916426512968299
CHEMBL4020847,25,32.06349206349206,[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@[#6]-&@1)-&!@[#7](-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,0.38535284996032715,0.7797029702970297
CHEMBL4028831,20,32.40425531914894,[#6]-&!@[#6]1:&@[#6](-&!@[#6](-&!@[#8])-&!@[#6]-&!@[#7]2-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@2):&@[#6]:&@[#6]:&@[#6]2:&@[#6]:&@1-&@[#6]-&@[#8]-&@[#6]-&@2=&!@[#8],5.887102842330933,0.6172028890347997
CHEMBL4028883,31,42.71153846153846,"[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1-&@[#6]:,-;@[#6]-,:;@[#6]-&@[#6]-&@[#7]-&@1-&!@[#6](=&!@[#8])-&!@[#6]=&!@[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#17]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]1:&@[#6]:&@[#7]:&@[#7]:&@[#7]:&@1",3.154797077178955,0.7257991895542548
CHEMBL4028900,16,24.416666666666668,[#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#6]:&@[#6](:&@[#7]:&@1)-&!@[#6]1:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#7]:&@2,0.4789547920227051,0.6552901023890785
CHEMBL4043283,22,31.104166666666668,[#6]-&!@[#6]1:&@[#6]:&@[#6](=&!@[#8]):&@[#6]2:&@[#6](:&@[#8]:&@1):&@[#6](:&@[#6](:&@[#6]:&@[#6]:&@2-&!@[#8])-&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1-&!@[#8])-&!@[#6],0.7315723896026611,0.7073007367716008
CHEMBL4052645,23,29.029411764705884,[#6]-&!@[#6]1(-&!@[#6])-&@[#6](-&!@[#7]-&!@[#6]2:&@[#6](-&!@[#6](-&!@[#7])=&!@[#8]):&@[#6]:&@[#7]:&@[#7]3:&@[#6]:&@2:&@[#6]:&@[#6](:&@[#6]:&@3)-&!@[#6])-&@[#6]-&@[#6]-&@[#6]-&@1(-&!@[#6])-&!@[#7],17.46597385406494,0.7922998986828773
CHEMBL4052831,20,32.02857142857143,[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#7]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#8]-&!@[#6]1:&@[#7]:&@[#6]:&@[#7]:&@[#6]:&@[#6]:&@1,12.071693420410156,0.6244424620874218
