assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL877109	[#6,#7,#8,#16]-,=,#;!@[#8,#6,#7]-&!@[#6]1:,-,=;@[#6,#7]:,-;@[#6,#7,#8,#16]-,:;@[#6,#8]-,=,:;@[#6,#7,#8]-,:;@[#16,#6,#7]-,:;@[#6,#7,#8]:,-;@[#6,#8]:,-;@[#6,#7,#16]:,-;@1	0.39143888602372356
CHEMBL829157	[#7]#&!@[#6]-&!@[#6]1:&@[#6](-&!@[#7]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8325449385052034
CHEMBL831137	[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#6]:&@1):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8425655976676385
CHEMBL827890	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6]1:&@[#6](-&!@[#6]):&@[#7](-&!@[#6]-&!@[#6]2:,-;@[#6]:,-;@[#6]:,-;@[#6]:,-;@[#6,#7]:,-;@[#6,#7]:,-;@2):&@[#6](:&@[#7](:&@[#6]:&@1=&!@[#8])-&!@[#6]-&!@[#6](-&!@[#6,#7])-&!@[#7,#6])=&!@[#8]	0.7534246575342466
CHEMBL877110	[#7,#8]-,=;!@[#6]1:&@[#6,#8]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6,#16](-&!@[#9,#6])(-,=;!@[#9,#8])-,=;!@[#9,#8]	0.38732394366197187
CHEMBL828963	[#6,#7,#8]-&!@[#7,#6]1-,:;@[#6]-,:;@[#6]-,:;@[#7,#6](-,:;@[#6]-,:;@[#6]-,:;@1)-&!@[#6](-&!@[#6]-&!@[#7]-&!@[#6]-&!@[#6,#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6,#7]1:,-;@[#6]:,-;@[#6]:,-;@[#6,#7]:,-;@[#6]:,-;@[#6]:,-;@1	0.7139588100686499
CHEMBL828695	[#6,#8](=,-;!@[#6])-&!@[#6]1:&@[#6]:&@[#6,#7]:&@[#7,#6]:&@[#6,#7]:&@[#6]:&@1	0.43971631205673756
CHEMBL840221	[#6]1-&@[#6]-&@[#6]2-&@[#6]3-&@[#6]-&@[#6]4:&@[#6](-&@[#6]-&@2(-&@[#6]-&@[#6]-,:;@1)-&@[#6]-&@[#6]-&@[#7]-&@3-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@4	0.5411082940963419
CHEMBL826384	[#6,#7,#8,#16]-,=;!@[#6,#7,#16]-&!@[#7,#6]1:&@[#6]:&@[#6,#7,#16]:&@[#6]:&@[#6,#7]:&@[#6,#7]:&@[#6,#7]:&@[#6]:&@[#6,#16]:&@1	0.36733760292772183
CHEMBL828848	[#6,#8]-,=;!@[#6]-&!@[#6]1:&@[#7]:&@[#6]:&@[#6]:&@[#8]:&@1	0.2814922480620155
