chembl_id canonical_smiles
CHEMBL2206288 c1cc([C@H]2C[C@@H](CN3CCOCC3)C2)ccc1CN1CCCC1
CHEMBL1783895 c1cc(CN2CCCCC2)ncc1OCCCN1CCCCC1
CHEMBL337036 C1=C(CCN2CCN(c3cccc4c3OCCO4)CC2)Cc2ccccc21
CHEMBL568757 c1ccc(Nc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)cc1
CHEMBL4170527 c1ccc(Nc2cncc(N3CC4CC(C3)N4)c2)cc1
CHEMBL243305 c1ccc(Nc2nnc(SCc3cccs3)[nH]2)cc1
CHEMBL348119 c1ccc(OCc2nc3c(OCCCN4CCCCC4)cccc3n2CCCC2CCN(CC3CCCCC3)CC2)cc1
CHEMBL2312538 c1ccc(OCCNC[C@H]2COCC(c3ccccc3)(c3ccccc3)O2)cc1
CHEMBL5968389 c1cc(N2CCC3(CCCCN3)C2)c2c(-c3nc[nH]n3)c[nH]c2n1
CHEMBL5987759 c1cc(N2CCCC3(CCCCN3)C2)c2c(-c3ccsn3)c[nH]c2n1
CHEMBL3951088 c1cc(N2CCCNCC2)nc(-n2ncc3cnc(-c4cncc(C5CC5)c4)cc32)c1
CHEMBL3980040 c1cc(N2CCNCC2)nc(-n2ncc3cnc(-c4cncc(C5CC5)c4)cc32)c1
CHEMBL3902417 c1cc(N2CCNCC2)nc(-n2ncc3cnc(-c4cnccn4)cc32)c1
CHEMBL448825 c1cc(OCC2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1
CHEMBL1222552 C1=C(N2CCNCC2)c2nccn2Cc2ccccc21
CHEMBL5841547 c1cnc2c(c1)OCC(c1ccc(CN3CCCC3)cc1)O2
CHEMBL5748489 c1cnc2c(c1)OC[C@H](c1ccc(CN3CCn4cnnc4C3)cc1)O2
CHEMBL3941606 c1cncc(-c2cc3c(-c4cccc(N5CCCCC5)n4)n[nH]c3cn2)c1
CHEMBL3914452 c1cncc(-c2cc3c(-c4cncc(NC5CCNCC5)c4)n[nH]c3cn2)c1
CHEMBL3582228 c1cncc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)c1
CHEMBL4777787 c1cncc(-c2ccc3[nH]nc(-c4nc5c(-c6cccnc6)ccnc5[nH]4)c3n2)c1
CHEMBL4784533 c1cncc(-c2ccc3[nH]nc(-c4nc5c(-c6cccnc6)cncc5[nH]4)c3n2)c1
CHEMBL3686990 c1cncc(C2CCN(c3nccnc3C3CN(c4ccc5ccccc5n4)C3)C2)c1
CHEMBL1088709 c1cncc(CNc2ccccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1
CHEMBL389964 c1cncc(N2CC3CC2CN3)c1
CHEMBL238452 c1cncc(N2C[C@@H]3CNC[C@@H]32)c1
CHEMBL59986 c1cncc(OC[C@@H]2CCN2)c1
CHEMBL262769 c1cncc(OC[C@H]2CCN2)c1
CHEMBL3690280 c1cnc(Oc2ccc(Nc3nc4ccccc4[nH]3)cc2)c(C2CCOCC2)c1
CHEMBL3647603 c1cnc(O[C@H]2C[C@@H](Nc3nc4ccccc4s3)C2)c(C2CCOCC2)c1
CHEMBL3092648 c1cnn(-c2ccc(Oc3ccc4c(c3)CCN(C3CCC3)CC4)nc2)c1
CHEMBL5856790 c1cnnc(-c2c[nH]c3nccc(N4CCCC5(CCCCN5)C4)c23)c1
CHEMBL162805 c1coc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1
CHEMBL310853 c1csc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)c1
CHEMBL198490 c1nc2cc3c(cc2[nH]1)C1CNCC3C1
CHEMBL167578 C1=NC[C@H](C2CC23Cc2ccccc2C3)N1
CHEMBL1162936 c1ncc(N2CC[C@@H]3CN[C@@H]3C2)cn1
CHEMBL5619782 c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1
CHEMBL5564589 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(C(=O)N4CCC[C@H](C(=O)NCCC(=O)NO)C4)cc1)(C3)C2
CHEMBL5571505 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(C(=O)N4CCC[C@H](C(=O)NCCC(=O)NO)C4)cc1F)(C3)C2
CHEMBL5567303 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(C(=O)NCCCCCCC(=O)NO)cc1)(C3)C2
CHEMBL5570460 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(C(=O)NCCCCCC(=O)NO)cc1)(C3)C2
CHEMBL5566384 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(S(=O)(=O)NCCCCCCC(=O)NO)cc1)(C3)C2
CHEMBL5564705 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(S(=O)(=O)NCCCCCC(=O)NO)cc1)(C3)C2
CHEMBL5571076 CC12CC3CC(C)(C1)CC(NC(=O)Nc1ccc(S(=O)(=O)NCCCCCC(=O)NO)cc1F)(C3)C2
CHEMBL5570840 CC12CC3CC(C)(C1)CC(NC(=O)NC1CCN(C(=O)c4ccc(C(=O)NCCCCC(=O)NO)cc4)CC1)(C3)C2
CHEMBL5197282 CC12CC3CC(NC(=O)NC4CCN(C(=O)C5CC5)CC4)(CC(C1)c1ccccc13)C2
CHEMBL310570 C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@](C)(O)c1ccsc1
CHEMBL2023619 C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1nc2ncccc2o1
CHEMBL2023620 C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1ncccn1
CHEMBL2311179 C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL4782490 C[C@]12CC[C@]3(C#N)c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL73279 CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O
CHEMBL5820029 CC12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N
CHEMBL403668 CC12CCC(C)(O1)[C@H]1C(=O)N(c3ccc(C#N)c(I)c3)C(=O)[C@H]12
CHEMBL1222144 C[C@]12CC[C@@H]3c4ccc(/C=C/C(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL135 C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL1627570 C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](O)[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL390714 C[C@]12CC[C@@H]3c4ccc(O)cc4[C@H](O)C[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL5273254 C[C@]12CC[C@@H]3c4ccc(OCCCCN5CCCC5)cc4CC[C@H]3[C@@H]1CC[C@@H]2N1CCCC1
CHEMBL1627935 C[C@]12CC[C@@H]3c4ccc(O)c([N+](=O)[O-])c4CC[C@H]3[C@@H]1CC[C@@H]2O
CHEMBL1627878 C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)Cc1ccccc1
CHEMBL4517286 C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1C(=O)N(Cc1cccnc1)C2=O
CHEMBL2011408 C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)c([N+](=O)[O-])c4CC[C@H]3[C@@H]1CCC2=O
CHEMBL2115222 C[C@]12CC[C@H]3[C@@H](CNC4=C(Cl)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)Nc1c(C(F)(F)F)cccc1C(F)(F)F
CHEMBL2282777 C[C@]12CC[C@H]3[C@@H](CNC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)N(Cc1ccccc1)Cc1ccccc1
