assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL865583	[#6]1:&@[#6](-&!@[#8]):&@[#6]:&@[#6]:&@[#6]2:&@[#6]:&@1:,-;@[#8]:,-;@[#6]:,-;@[#6]1:&@[#6]:,-;@2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7620660457239627
CHEMBL861973	[#7]-&!@[#6](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6](-&!@[#6])-&!@[#6]-&!@[#6](-&!@[#6])-&!@[#6]	0.38361888842457165
CHEMBL870124	[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]2:&@[#7]:&@[#6]:&@[#6]3:&@[#6](:&@[#7]:&@2):&@[#7](:&@[#6]:&@[#6]:&@3)-&!@[#6]):&@[#6]:&@[#6](:&@[#6]:&@1-&!@[#8]-&!@[#6])-&!@[#8]-&!@[#6]	0.6928794992175273
CHEMBL853189	[#6]-&!@[#6]-&!@[#7](-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@[#6]-&@1	0.5308924485125858
CHEMBL871249	[#6]-&!@[#6]1-&@[#6]-&@[#6]-&@[#6](-&@[#7]-&@1)-&!@[#6](=&!@[#8])-&!@[#7]1-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@1-&!@[#6]#&!@[#7]	0.6268996960486323
CHEMBL853234	[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#8]-&!@[#6]-&!@[#6]1:&@[#6](-&!@[#17]):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1-&!@[#17])-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7]-&!@[#6](-&!@[#6])(-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#7]	0.7421975203078238
CHEMBL870503	[#8]=&!@[#6]1-&@[#6]-&@[#6](-&@[#16](-&@[#7]-&@1)(=&!@[#8])=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]-&!@[#6](-&!@[#7]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#7]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.9155575952271684
CHEMBL864183	[#6]-&!@[#6]1=,-;@[#6]-&@[#6](-&!@[#6])(-&!@[#6])-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.5950413223140496
CHEMBL868542	[#7]=&!@[#6](-&!@[#7])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6]-&!@[#6](-&!@[#7]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6](=&!@[#8])-&!@[#7]	0.5647058823529412
CHEMBL867484	[#7]	0.036375661375661374
CHEMBL865352	[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#7]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6](=&!@[#8])-&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]-&!@[#6]	0.7592267135325131
CHEMBL868607	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#7]:&@[#6]:&@[#8]:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#7](:&@[#6]:&@1):&@[#6]:&@[#7]:&@[#7]:&@2	0.792905581637976
CHEMBL864855	[#8]=,-;!@[#6]1-&@[#7]-&@[#6](-&@[#6]2:&@[#6]-&@1:&@[#6](-&!@[#6]):&@[#6]:&@[#6]1:&@[#6]:&@2:&@[#6]2:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@[#6]:&@2:&@[#7]:&@1)-&!@[#8])=,-;!@[#8]	0.7480748074807481
CHEMBL868581	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1=,-;@[#6]-&@[#6]-&@[#7](-&@[#6]-&@1=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.5709156193895871
CHEMBL870467	[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#7]1-&@[#6]2:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2-&@[#7]=&@[#6](-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6])-&!@[#17]	0.792845702082221
CHEMBL911523	[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]1=&@[#7]-&@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.6191556967771221
