doc_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL1909618	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6](-&!@[#6])(-&!@[#6])-&!@[#6]-&!@[#6](-&!@[#8])(-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]	0.8326446280991735
CHEMBL1914403	[#6]-&!@[#6]1:&@[#7]:&@[#6](:&@[#6]2:&@[#7]:&@1:&@[#6]:&@[#6]:&@[#7]:&@[#6]:&@2-&!@[#6])-&!@[#6]	0.47058823529411764
CHEMBL1921678	[#7]-&!@[#6](-&!@[#6]=,-;!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]	0.2932464454976303
CHEMBL1938250	[#6]-&!@[#6](-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.39830508474576276
CHEMBL1949493	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#7]1:&@[#6](-&!@[#6]-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6663326653306613
CHEMBL2010768	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#16]:&@1)-&!@[#7]1:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.8127753303964759
CHEMBL2029277	[#6]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#6](:&@[#6](:&@[#7]:&@1)=&!@[#8]):&@[#8]:&@[#6]1:&@[#6]:&@2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6997084548104956
CHEMBL2034824	[#6]-&!@[#6]	0.055408970976253295
CHEMBL2057102	[#6]-&!@[#6]1:&@[#7]:&@[#7](-&!@[#6]):&@[#6](:&@[#6]2:&@[#6]:&@1:,-;@[#6]:,-;@[#16]:,-;@[#6]:,-;@2)=&!@[#8]	0.5448504983388704
CHEMBL2062454	[#7]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#7](:&@[#7]:&@1):&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2)-&!@[#6]	0.4656084656084656
CHEMBL2069214	[#6]-&!@[#6]1:&@[#7]:&@[#6](-&!@[#7]):&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#7](:&@[#7]:&@[#7]:&@2)-&!@[#6]-&!@[#6]	0.5465909090909091
CHEMBL2157860	[#8]=&!@[#6](-&!@[#7]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]	0.3032659409020218
CHEMBL2157993	[#8]=&!@[#6](-&!@[#7]-&!@[#6]-&!@[#6]-&!@[#6]-&!@[#7]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#7]-&!@[#6]	0.686030428769018
CHEMBL2157910	[#6]-&!@[#6]1:&@[#7]:&@[#7]:&@[#6](:&@[#6]:&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8]-&!@[#6]1-&@[#8]-&@[#6](-&!@[#6]-&!@[#8])-&@[#6](-&@[#6](-&@[#6]-&@1-&!@[#8])-&!@[#8])-&!@[#8]	0.8227176220806794
CHEMBL2169770	[#6](=,-;!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#6](-&@[#6]-&@[#6]-&@1)-&!@[#7]1:&@[#6](=&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.6522033898305085
CHEMBL2169772	[#7]-&!@[#6]1:&@[#7]:&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#7]:&@[#6](:&@[#7]:&@2-&!@[#6]-&!@[#6]-&!@[#6])-&!@[#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#35]	0.6406345332519829
CHEMBL2176971	[#6]-&!@[#6]-&!@[#6]-&!@[#7]1:&@[#6]2:&@[#6](:&@[#6]3:&@[#6]:&@1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@3)-&@[#6]-&@[#6]-&@[#6]-&@[#6]-&@2	0.5170821791320406
CHEMBL2176870	[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#8])-&!@[#8]-&!@[#6]	0.4850361197110423
CHEMBL2176973	[#6]-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#6]=&!@[#6]2-&@[#6]-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@2):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7]1:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@1)-&!@[#6]	0.6459227467811159
CHEMBL2321873	[#6]1:&@[#6]:&@[#6](-&!@[#7]2-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@2)-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#7]2:&@[#7]:&@[#6](:&@[#6]:&@[#6]:&@2-&!@[#6])-&!@[#6]):&@[#6]:&@[#6]:&@[#6]:&@1	0.751219512195122
CHEMBL2384910	[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6](-&!@[#6]-&!@[#6](-&!@[#8])-&!@[#6](-&!@[#7])-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6](=&!@[#8])-&@[#7](-&@[#6]-&@[#6]-&@1(-&!@[#6])-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#6]	0.620392532312111
CHEMBL2384934	[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6](:&@[#7]:&@[#7]:&@1)-&!@[#7]-&!@[#6]	0.33385214007782105
CHEMBL2385071	[#6]-&!@[#6]1:,-;@[#6]:,-;@[#6](=&!@[#8]):,-;@[#8]:,-;@[#6]2:&@[#6]:,-;@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#8]-&!@[#6]-&!@[#6]-,=;!@[#6]	0.47840531561461797
CHEMBL2401646	[#6]-&!@[#6]1:&@[#6]:&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6]:&@[#7]:&@[#6](:&@[#6]:&@2-&!@[#8]-&!@[#6](-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#17])-&!@[#7]	0.657495256166983
CHEMBL2407043	[#6]-&!@[#6]1(-&!@[#6]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7])-&@[#7]-&@[#6](-&@[#7]-&@[#6]-&@1=&!@[#8])=&!@[#8]	0.4026936026936027
CHEMBL2412975	[#6]-&!@[#6]1:,-;@[#6]:,-;@[#6]:,-;@[#6](:,-;@[#6]:,-;@[#6]:,-;@1)-&!@[#7]1-&@[#6]-&@[#6]-&@[#8]-&@[#6]2:&@[#6](-&@[#6]-&@1):&@[#6]:&@[#7]:&@[#6]:&@[#7]:&@2	0.6068702290076335
CHEMBL2434870	[#8]=&!@[#6]1-&@[#7](-&!@[#6])-&@[#6]-&@[#6](-&@[#7]-&@1-&!@[#6]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.5246356696738376
