canonical_smiles molregno activity_id standard_value standard_units
CCCCCN1C(=O)N=C(NC2CCN(Cc3ccc4OCOc4c3)CC2)c5cc(Cl)ccc15 346425 1713876 135 nM
FC(F)(F)CN1C(=O)N=C(NC2CCN(Cc3ccc4OCOc4c3)CC2)c5cc(Cl)ccc15 346424 1713877 445 nM
FC(F)(F)CN1C(=O)N=C(NC2CCN(Cc3ccc4ccccc4c3)CC2)c5cc(Cl)ccc15 346215 1713878 150 nM
CN1C(=O)N=C(NC2CCN(Cc3ccc4ncccc4c3)CC2)c5cc(Cl)ccc15 346207 1713879 1750 nM
CN1C(=O)N=C(NC2CCN(Cc3ccc4OCOc4c3)CC2)c5cc(Cl)ccc15 346206 1713880 150 nM
CN1C(=O)N=C(NC2CCN(Cc3ccc4ccccc4c3)CC2)c5cc(Cl)ccc15 346312 1713881 160 nM
COC(=O)C1=C(NC2CCN(Cc3ccc4OCOc4c3)CC2)c5cc(Cl)ccc5N(C)C1=O 346653 1713883 1440 nM
Oc1nc2ccc(Cl)cc2c(NC3CCN(Cc4ccc5OCOc5c4)CC3)c1C#N 346674 1713886 420 nM
Clc1ccc2N(Cc3ccccn3)C(=O)C=C(NC4CCN(Cc5ccc6OCOc6c5)CC4)c2c1 346673 1713887 550 nM
Clc1ccc2N(Cc3ccccn3)C(=O)C=C(NC4CCN(Cc5ccc6ccccc6c5)CC4)c2c1 346356 1713888 88 nM
Clc1ccc2N(Cc3ccncc3)C(=O)C=C(NC4CCN(Cc5ccc6OCOc6c5)CC4)c2c1 346454 1713889 355 nM
Clc1ccc2N(Cc3ccccc3)C(=O)C=C(NC4CCN(Cc5ccc6OCOc6c5)CC4)c2c1 346449 1713890 280 nM
CN1C(=O)C=C(NC2CCN(Cc3ccc4OCOc4c3)CC2)c5cc(OC(F)(F)F)ccc15 346448 1713891 1800 nM
COc1ccc2N(C)C(=O)C=C(NC3CCN(Cc4ccc5OCOc5c4)CC3)c2c1 346417 1713893 778 nM
CN1C(=O)C=C(NC2CCN(Cc3ccc4ccccc4c3)CC2)c5cc(Cl)ccc15 346169 1713894 215 nM
CN1C(=O)C=C(NC2CCN(C\C=C\c3ccccc3)CC2)c4cc(Cl)ccc14 345956 1713895 30 nM
C[C@@H](O[C@H]1CCn2ccnc2C[C@@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F 349342 1724708 1400 nM
