doc_id,doc_chembl_id,molregno,compound_chembl_id,compound_type,assay_count,canonical_smiles
105883,CHEMBL4049458,19569,CHEMBL17157,reference,1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
105970,CHEMBL4052645,2220708,CHEMBL4080797,local,438,COc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1
105970,CHEMBL4052645,2236056,CHEMBL4096145,local,416,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2200895,CHEMBL4060984,local,12,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cc[nH]n4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2203781,CHEMBL4063870,local,12,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccncc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2219791,CHEMBL4079880,local,12,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccncc4F)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2238751,CHEMBL4098840,local,12,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(F)nc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2004819,CHEMBL3671804,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cccnc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2004820,CHEMBL3671805,local,7,Cc1ccncc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1
105970,CHEMBL4052645,2200355,CHEMBL4060444,local,7,Cc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1
105970,CHEMBL4052645,2208767,CHEMBL4068856,local,7,Cc1ccccc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1
105970,CHEMBL4052645,2209038,CHEMBL4069127,local,7,COc1cc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)ccn1
105970,CHEMBL4052645,2210047,CHEMBL4070136,local,7,CC(C)Oc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1
105970,CHEMBL4052645,2211166,CHEMBL4071255,local,7,COc1ccccc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1
105970,CHEMBL4052645,2213473,CHEMBL4073562,local,7,Cc1cc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)ccn1
105970,CHEMBL4052645,2216102,CHEMBL4076191,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4F)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2216705,CHEMBL4076794,local,7,COc1cccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)c1
105970,CHEMBL4052645,2216734,CHEMBL4076823,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cccc(Cl)c4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2217419,CHEMBL4077508,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(F)cc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2218684,CHEMBL4078773,local,7,COc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cc1
105970,CHEMBL4052645,2224252,CHEMBL4084341,local,7,Cc1cnccc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1
105970,CHEMBL4052645,2227566,CHEMBL4087655,local,7,Cc1cccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)c1
105970,CHEMBL4052645,2228584,CHEMBL4088673,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cncc(F)c4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2229075,CHEMBL4089164,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cncnc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2231007,CHEMBL4091096,local,7,CCOc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1
105970,CHEMBL4052645,2231493,CHEMBL4091582,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(C#N)cc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2236706,CHEMBL4096795,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(C#N)nc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2244038,CHEMBL4104127,local,7,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccnc(F)c4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2211717,CHEMBL4071806,local,6,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cccc(F)c4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2223709,CHEMBL4083798,local,6,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4C#N)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2200447,CHEMBL4060536,local,5,Cc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cc1
105970,CHEMBL4052645,2201973,CHEMBL4062062,local,5,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(Cl)cc4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2210598,CHEMBL4070687,local,5,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cccc(C#N)c4)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,2244926,CHEMBL4105015,local,5,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4Cl)cc23)CC[C@]1(C)N
105970,CHEMBL4052645,1824094,CHEMBL3359921,local,4,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)N
105970,CHEMBL4052645,367860,CHEMBL221959,reference,2,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
106156,CHEMBL4052831,2216023,CHEMBL4076112,local,43,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(F)(F)F)n(C)n3)c2)ncn1
106156,CHEMBL4052831,2217284,CHEMBL4077373,local,41,CC(=O)N1Cc2ncnc(Oc3ccc4c(ccn4C(=O)Nc4cc(C5CC5)on4)c3)c2C[C@@H]1C
106156,CHEMBL4052831,2087596,CHEMBL3808921,local,5,C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C(F)(F)F)CC4)on3)c2)CN1
106156,CHEMBL4052831,2056954,CHEMBL3747063,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cccc(C(F)(F)F)c3)c2)ncn1
106156,CHEMBL4052831,2204382,CHEMBL4064471,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C(F)(F)F)CC4)[nH]n3)c2)ncn1
106156,CHEMBL4052831,2218914,CHEMBL4079003,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(F)(F)F)[nH]n3)c2)ncn1
106156,CHEMBL4052831,2219848,CHEMBL4079937,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(C)C)on3)c2)ncn1
106156,CHEMBL4052831,2226629,CHEMBL4086718,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C)CC4)[nH]n3)c2)ncn1
106156,CHEMBL4052831,2227725,CHEMBL4087814,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C(F)(F)F)CC4)on3)c2)ncn1
106156,CHEMBL4052831,2237866,CHEMBL4097955,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C)CC4)on3)c2)ncn1
106156,CHEMBL4052831,2243178,CHEMBL4103267,local,4,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C(C)C)[nH]n3)c2)ncn1
106156,CHEMBL4052831,2056968,CHEMBL3746562,local,3,CC1(c2cc(NC(=O)n3ccc4cc(Oc5ncnc6c5CCNC6)ccc43)n[nH]2)CC1
106156,CHEMBL4052831,2056969,CHEMBL3746776,local,3,C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C)CC4)[nH]n3)c2)CN1
106156,CHEMBL4052831,2056974,CHEMBL3745816,local,3,CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1
106156,CHEMBL4052831,2056977,CHEMBL3746122,local,3,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21
106156,CHEMBL4052831,2056978,CHEMBL3747273,local,3,CC(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1
106156,CHEMBL4052831,2056979,CHEMBL3746370,local,3,CC1(c2cc(NC(=O)n3ccc4cc(Oc5ncnc6c5CNC6)ccc43)no2)CC1
106156,CHEMBL4052831,2204919,CHEMBL4065008,local,3,CC(=O)N1Cc2ncnc(Oc3ccc4c(ccn4C(=O)Nc4cc(C5CC5)on4)c3)c2C1
106156,CHEMBL4052831,2205624,CHEMBL4065713,local,3,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3ncnc4c3CCNC4)ccc21
106156,CHEMBL4052831,2208271,CHEMBL4068360,local,3,CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3cc(C4CC4)on3)c2)ncn1
106156,CHEMBL4052831,2214583,CHEMBL4074672,local,3,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3cc(CO)ncn3)ccc21
106156,CHEMBL4052831,2216820,CHEMBL4076909,local,3,CC(=O)N1Cc2ncnc(Oc3ccc4c(ccn4C(=O)Nc4cc(C5(C(F)(F)F)CC5)on4)c3)c2C[C@@H]1C
106156,CHEMBL4052831,2217202,CHEMBL4077291,local,3,CCN1CCc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4CC4)on3)c2)C1
106156,CHEMBL4052831,2219047,CHEMBL4079136,local,3,CC(C)(CO)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1
106156,CHEMBL4052831,2219229,CHEMBL4079318,local,3,C[C@@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4CC4)on3)c2)CN1
106156,CHEMBL4052831,2219828,CHEMBL4079917,local,3,C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4CC4)on3)c2)CN1
106156,CHEMBL4052831,2219973,CHEMBL4080062,local,3,O=C(Nc1cccc(C(F)(F)F)c1)c1cccc2cc(Oc3cc(CO)ncn3)ccc12
106156,CHEMBL4052831,2224848,CHEMBL4084937,local,3,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3ncnc4c3CSC4)ccc21
106156,CHEMBL4052831,2226909,CHEMBL4086998,local,3,Cc1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)no1
106156,CHEMBL4052831,2232603,CHEMBL4092692,local,3,CC(=O)N1CCc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4CC4)on3)c2)C1
106156,CHEMBL4052831,2240466,CHEMBL4100555,local,3,O=C(Nc1cc(C2(CO)CC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21
